filename,width,height,class,xmin,ymin,xmax,ymax
cardboard235_jpg.rf.58004daee65bf592d4df5afe4f66bb1c.jpg,512,384,cardboard,0,0,208,171
cardboard235_jpg.rf.58004daee65bf592d4df5afe4f66bb1c.jpg,512,384,cardboard,209,0,511,171
cardboard235_jpg.rf.58004daee65bf592d4df5afe4f66bb1c.jpg,512,384,cardboard,0,172,208,383
cardboard235_jpg.rf.58004daee65bf592d4df5afe4f66bb1c.jpg,512,384,metal,209,172,511,383
paper1022_jpg.rf.58216f2e5e1dbb8eb1ea1b281b185866.jpg,512,384,paper,0,0,239,160
paper1022_jpg.rf.58216f2e5e1dbb8eb1ea1b281b185866.jpg,512,384,paper,240,0,511,160
paper1022_jpg.rf.58216f2e5e1dbb8eb1ea1b281b185866.jpg,512,384,paper,0,161,203,383
paper1022_jpg.rf.58216f2e5e1dbb8eb1ea1b281b185866.jpg,512,384,paper,240,161,511,383
green-glass63_jpg.rf.582ce5047167145cf1c91217ed944ec1.jpg,512,384,glass,0,0,352,167
green-glass63_jpg.rf.582ce5047167145cf1c91217ed944ec1.jpg,512,384,metal,353,0,511,167
green-glass63_jpg.rf.582ce5047167145cf1c91217ed944ec1.jpg,512,384,cardboard,0,168,352,383
green-glass63_jpg.rf.582ce5047167145cf1c91217ed944ec1.jpg,512,384,cardboard,353,168,511,383
green-glass35_jpg.rf.582e9775c2913119805ea0c54058209f.jpg,512,384,glass,0,0,290,167
green-glass35_jpg.rf.582e9775c2913119805ea0c54058209f.jpg,512,384,cardboard,291,0,511,179
green-glass35_jpg.rf.582e9775c2913119805ea0c54058209f.jpg,512,384,cardboard,0,180,290,383
green-glass35_jpg.rf.582e9775c2913119805ea0c54058209f.jpg,512,384,metal,291,180,511,383
cardboard49_jpg.rf.583238dbf3376e3fa57c6780b43b7b32.jpg,512,384,cardboard,0,0,403,164
cardboard49_jpg.rf.583238dbf3376e3fa57c6780b43b7b32.jpg,512,384,metal,415,0,511,164
cardboard49_jpg.rf.583238dbf3376e3fa57c6780b43b7b32.jpg,512,384,metal,61,165,403,383
cardboard49_jpg.rf.583238dbf3376e3fa57c6780b43b7b32.jpg,512,384,metal,404,165,511,383
